Country,Code,ContinentCode,Year,Labor force million people,Unemployment rate,Unemployment rate for females,Youth unemployment ages 15-24,Foreign Direct Investment percent of GDP,Quality of roads 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Electricity production from renewable sources million kWh,Greenhouse gas emissions,Oil consumption thousand barrels per day,Employment in agriculture % of total employment,Population size in millions,Population density people per square km,Population ages 65 and above percent of total,Population ages 0-14 percent of total,Population growth percent,Primary school enrollment percent of all eligible children,Secondary school enrollment percent of all eligible children,Tertiary school enrollment percent of all eligible children,Value added by industry as percent of GDP
Lithuania,LTU,EU,2001,1.65,16.84,14.1,31.53,3.61,,,2,20851,55,17.57,3.47,55,14.24,19.33,-0.82,103.15,99.62,57.35,27.21
Lithuania,LTU,EU,2002,1.63,13.01,12.78,20.42,4.63,,,4,21212,53,18.64,3.44,55,14.73,18.6,-0.8,103.1,102.29,63.07,26.4
Lithuania,LTU,EU,2003,1.68,12.87,13.2,26.93,1.16,,,7,21387,52,18.71,3.42,54,15.17,17.92,-0.81,102.96,105.02,69.63,27.96
Lithuania,LTU,EU,2004,1.59,10.68,11.07,20.25,3.87,,,7,22363,55,16.28,3.38,54,15.61,17.36,-1.12,103.97,103.01,74.9,29.53
Lithuania,LTU,EU,2005,1.55,8.32,8.53,15.77,4.95,,,9,23504,68,14.27,3.32,53,16.05,16.83,-1.63,102.84,104.5,79.73,29.72
Lithuania,LTU,EU,2006,1.51,5.78,5.61,9.98,7.5,4.92,4.47,38,23637,73,13.83,3.27,52,16.47,16.3,-1.6,102.03,107,82.45,30.17
Lithuania,LTU,EU,2007,1.51,4.25,4.33,8.39,6.55,4.97,4.4,160,24650,74,11.33,3.23,52,16.82,15.76,-1.19,101.1,106.93,82.52,29.65
Lithuania,LTU,EU,2008,1.51,5.83,5.63,13.35,3.61,5.21,4.61,200.09,24087,68,8.06,3.2,51,17.1,15.31,-1.03,99.5,106.11,85.75,29.2
Lithuania,LTU,EU,2009,1.52,13.78,10.52,29.58,-0.96,5.28,4.22,260.09,20511,57,8.98,3.16,50,17.28,15.04,-1.11,99.95,104.76,89.25,25.02
Lithuania,LTU,EU,2010,1.49,17.81,14.52,35.74,3.01,5.27,3.57,371.09,21317,55,8.83,3.1,49,17.61,14.92,-2.1,100.42,105.07,86.57,26.21
Lithuania,LTU,EU,2011,1.48,15.39,12.91,32.59,4.36,5.23,3.73,632.27,20785,55,8.49,3.03,48,17.99,14.83,-2.26,101.25,106.01,84.06,28.35
Lithuania,LTU,EU,2012,1.47,13.36,11.57,26.68,1.59,5.17,4.23,760,20704,56,8.8,2.99,48,18.18,14.74,-1.34,101.85,106.17,79.75,28.2
Lithuania,LTU,EU,2013,1.47,11.77,10.48,21.9,1.66,5.02,4.32,1005,19812,53,8.42,2.96,47,18.36,14.65,-1.01,101.75,108.99,73.53,27.62
Lithuania,LTU,EU,2014,1.48,10.7,9.22,19.26,0.74,4.94,4.19,1112,19360,54,9.17,2.94,47,18.6,14.58,-0.86,100.98,102.45,68.9,27.73
Lithuania,LTU,EU,2015,1.47,9.12,8.16,16.3,2.5,4.96,4.12,1329,19620,,9.07,2.91,46,18.88,14.61,-0.94,101.54,102.15,67.74,26.96
Lithuania,LTU,EU,2016,1.48,7.86,6.65,14.45,2.74,4.9,4.4,1641,19645,,7.98,2.88,46,19.18,14.74,-1.27,104.22,101.82,67.74,26
Lithuania,LTU,EU,2017,1.47,7.07,5.67,13.27,2.9,4.7,4.4,1935.85,19566,,7.78,2.84,45,19.5,14.91,-1.4,106.41,102.79,68.39,25.72
Lithuania,LTU,EU,2018,1.47,6.15,5.41,11.12,2.4,4.7,4.6,1774.2,19652,,7.18,2.82,45,19.73,15.05,-0.95,106.06,103.01,69.72,25.58
Lithuania,LTU,EU,2019,1.48,6.26,5.49,11.85,6.23,4.8,4.9,2124.4,19780,,6.44,2.81,45,19.86,15.11,-0.26,104.71,103.88,70.18,25.26
Lithuania,LTU,EU,2020,1.49,8.49,7.69,19.56,7.94,,,2274.7,19785,,5.69,2.81,45,19.93,15.12,0.03,103.47,105.99,69.15,24.79
Lithuania,LTU,EU,2021,1.49,7.11,6.61,14.3,3.74,,,2238.9,,,5.31,2.81,45,19.95,15.11,0.21,101.15,108.51,70.66,24.86
Lithuania,LTU,EU,2022,1.51,5.95,5.48,11.87,3.41,,,,,,5.46,2.83,,19.86,15.05,1.09,101.91,106.92,76.92,25.64
Lithuania,LTU,EU,2023,1.54,6.84,6.37,13.71,4.8,,,,,,5.06,2.87,,19.86,14.89,1.41,,,,24.24
Lithuania,LTU,EU,2024,1.55,7.5,6.88,14.07,4.24,,,,,,,2.89,,20.17,14.71,,,,,23.39
Luxembourg,LUX,EU,2000,0.19,2.35,3.14,6.38,,,,47.72,9437,48,2.44,0.44,169,14.03,18.94,1.34,98.24,98.03,9.96,16.65
Luxembourg,LUX,EU,2001,0.19,1.8,2.17,6.34,,,,49.74,10008,51,1.53,0.44,172,13.95,18.91,1.19,99.38,95.66,9.92,16.31
Luxembourg,LUX,EU,2002,0.2,2.62,3.63,6.95,17.94,,,52.47,10793,52,1.97,0.45,173,14.02,18.87,1.05,99.79,95.44,11.63,16.11
Luxembourg,LUX,EU,2003,0.2,3.67,4.71,10.89,14.46,,,62.68,11211,56,2.72,0.45,175,14.04,18.77,1.22,99.11,94.9,12.06,16.23
Luxembourg,LUX,EU,2004,0.2,5.11,7.1,16.82,14.77,,,91.44,12664,63,1.96,0.46,178,14.07,18.66,1.42,99.1,94.19,,15.44
Luxembourg,LUX,EU,2005,0.21,4.49,5.83,13.64,12.33,,,116.54,12901,65,1.74,0.47,181,14.11,18.52,1.53,99.87,93.79,,14.47
Luxembourg,LUX,EU,2006,0.21,4.73,6.29,15.99,75.09,5.69,5.22,134.55,12697,61,1.83,0.47,184,14.08,18.38,1.6,99.64,94.22,9.85,13.52
Luxembourg,LUX,EU,2007,0.22,4.07,4.73,14.84,-57.53,5.81,5.16,148.18,12110,61,1.84,0.48,186,14.05,18.23,1.54,99.52,94.91,,14.48
Luxembourg,LUX,EU,2008,0.22,5.06,6.03,17.78,12.09,5.74,5.04,150.31,12033,61,1.67,0.49,190,14.03,18.04,1.79,99.18,95.76,10.67,12.81
Luxembourg,LUX,EU,2009,0.23,5.19,6.27,16.78,50.04,5.78,5.43,162.69,11443,57,1.36,0.5,193,14.02,17.84,1.85,,,,11.01
Luxembourg,LUX,EU,2010,0.24,4.42,5.19,13.92,69.61,5.9,5.87,161.36,12035,60,1.1,0.51,197,13.99,17.66,1.83,98,100.08,18.2,11
Luxembourg,LUX,EU,2011,0.24,5.12,6.54,18.05,14.33,5.89,5.8,183.28,11902,61,1.23,0.52,201,13.96,17.36,2.22,96.3,100.42,,10.71
Luxembourg,LUX,EU,2012,0.26,5.03,5.74,16.58,4.72,5.89,5.84,210.18,11673,59,1.33,0.53,206,13.97,17.07,2.4,98.74,100.61,19.12,10.43
Luxembourg,LUX,EU,2013,0.26,6.05,6.55,16.29,35.73,5.79,5.59,251.13,11157,58,1.59,0.54,211,14.03,16.91,2.31,97.73,103.47,,10.44
Luxembourg,LUX,EU,2014,0.27,6.04,6.26,24.28,29.16,5.71,5.42,290.22,10635,57,1.43,0.56,216,14.13,16.75,2.36,97.31,104.6,,10.81
Luxembourg,LUX,EU,2015,0.28,6.8,7.2,17.5,75.63,5.57,5.38,332.16,10125,,1.04,0.57,221,14.2,16.56,2.36,97.4,104.38,20.29,11.54
Luxembourg,LUX,EU,2016,0.29,6.67,6.95,21.99,28.26,5.6,5.5,341.95,9839,,1.03,0.58,226,14.24,16.35,2.16,97.41,106.09,19.92,12.1
Luxembourg,LUX,EU,2017,0.29,5.52,5.5,15.48,-41.65,5.5,5.6,515.7,10012,,1.39,0.6,232,14.31,16.18,2.43,96.74,106.78,19.6,10.82
Luxembourg,LUX,EU,2018,0.3,5.59,5.88,14.18,-117.23,5.3,5.5,591.24,10312,,1.05,0.61,236,14.38,16.09,1.93,97.34,106.98,19.39,10.97
Luxembourg,LUX,EU,2019,0.31,5.59,5.53,16.98,234.31,5.5,5.6,690.1,10495,,0.68,0.62,241,14.47,16.02,1.96,98.33,106.95,19.4,11.6
Luxembourg,LUX,EU,2020,0.32,6.77,6.95,23.18,13.36,,,884.76,8814,,0.78,0.63,245,14.59,15.97,1.67,98.64,107.08,19.96,11.34
Luxembourg,LUX,EU,2021,0.33,5.57,6.01,18.67,29.08,,,883.89,,,1.14,0.64,249,14.72,15.94,1.52,98.48,106.48,20.73,10.59
Luxembourg,LUX,EU,2022,0.33,4.59,4.74,17.6,-444.71,,,,,,1.08,0.65,,14.84,15.88,2.02,99.48,107.84,21.03,9.11
Luxembourg,LUX,EU,2023,0.35,5.18,5.44,18.85,-71.72,,,,,,0.87,0.67,,15.11,15.82,2.35,,,,10.17
Luxembourg,LUX,EU,2024,0.35,5.93,5.98,20.17,,,,,,,,0.68,,15.48,15.78,,,,,9.01
Malta,MLT,EU,2000,0.16,6.32,6.53,11.84,18.41,,,0,2413,18,2.04,0.39,1219,12.16,19.8,0.65,106.37,91.5,21.91,27
Malta,MLT,EU,2001,0.16,7.11,8.06,17.74,10.24,,,0,2787,15,2.34,0.39,1228,12.4,19.37,0.75,105.5,90.72,24.99,23.85
Malta,MLT,EU,2002,0.16,6.9,8.31,15.43,-11.17,,,0,2620,18,2.34,0.4,1237,12.69,18.93,0.75,105.04,91.16,24.26,24.77
Malta,MLT,EU,2003,0.16,7.49,9.9,17.57,16.82,,,0,2922,18,2.46,0.4,1246,12.97,18.45,0.66,104.11,93.11,30.09,24.54
Malta,MLT,EU,2004,0.16,7.32,8.26,18.58,122.36,,,0,2928,18,2.26,0.4,1254,13.24,17.91,0.67,105.06,104.42,26.62,22.23
Malta,MLT,EU,2005,0.16,6.92,8.37,16.12,341.01,,,0.08,2985,19,2.1,0.4,1262,13.48,17.37,0.64,102.9,101.81,32.21,20.74
Malta,MLT,EU,2006,0.16,6.8,8.32,15.46,370.9,2.95,5.23,0.08,3058,18,2.03,0.41,1267,13.63,16.85,0.36,102.83,97.53,31.23,19.8
Malta,MLT,EU,2007,0.17,6.47,7.9,13.49,450.05,3.17,5.41,0.08,3147,19,1.82,0.41,1271,13.71,16.36,0.35,103,100.52,34.67,18.51
Malta,MLT,EU,2008,0.17,5.98,6.78,11.62,162.42,3.28,5.61,0.15,3094,37,1.79,0.41,1279,13.88,15.92,0.65,103.14,101.42,33.32,19.3
Malta,MLT,EU,2009,0.17,6.89,7.63,14.49,16.54,2.9,5.75,0.68,2899,40,1.46,0.41,1289,14.39,15.54,0.75,98.13,,35.79,17.66
Malta,MLT,EU,2010,0.18,6.85,7.13,13.23,101.63,2.83,5.98,0.68,3006,47,1.34,0.41,1295,15.1,15.2,0.49,102.58,105.11,36.83,17.44
Malta,MLT,EU,2011,0.18,6.38,7.13,13.32,79.75,2.99,6.05,9.99,2992,42,1.17,0.42,1301,15.81,14.9,0.42,100.98,94.11,39.45,16.45
Malta,MLT,EU,2012,0.19,6.2,7.21,13.82,34.59,3.06,5.91,25.77,3164,42,1.04,0.42,1313,16.58,14.67,0.9,100.94,95.52,42.55,15.07
Malta,MLT,EU,2013,0.2,6.11,6.14,12.71,4.72,3.43,5.75,35.56,2826,40,1.26,0.42,1331,17.35,14.48,1.4,101.23,96.26,44.04,14.56
Malta,MLT,EU,2014,0.2,5.72,5.1,11.68,1.31,3.65,5.48,75.44,2837,41,1.28,0.43,1358,17.94,14.34,2,100.67,96.23,44.49,13.08
Malta,MLT,EU,2015,0.21,5.39,5.39,11.65,32.1,3.37,5.2,102.05,2159,,1.47,0.44,1391,18.33,14.23,2.39,100.31,95.16,46.95,12.09
Malta,MLT,EU,2016,0.22,4.69,5.16,10.7,23.08,3.2,5.6,136.26,1875,,1.17,0.45,1423,18.66,14.16,2.29,99.94,94.98,48.13,12.28
Malta,MLT,EU,2017,0.23,4,4.25,10.57,299.82,3.2,5.7,172.06,2027,,1,0.47,1462,18.81,14.03,2.74,99.61,103.14,52.84,11.46
Malta,MLT,EU,2018,0.25,3.66,3.5,9.05,452.22,3.2,5.4,199,2047,,1,0.48,1514,18.75,13.8,3.49,99.6,104.64,56.81,11.52
Malta,MLT,EU,2019,0.27,3.62,4.02,9.3,198.2,3.3,5.5,201.85,2141,,1.01,0.5,1575,18.58,13.55,3.93,98.17,104.51,58.54,12.07
Malta,MLT,EU,2020,0.28,4.35,4.5,10.87,191.86,,,242.82,2082,,1.09,0.52,1610,18.5,13.33,2.21,96.8,102.92,62.88,12.27
Malta,MLT,EU,2021,0.28,3.39,3.11,9.41,433.75,,,263.24,,,0.87,0.52,1620,18.77,13.23,0.62,95.41,103.09,73.02,12.02
Malta,MLT,EU,2022,0.29,2.92,2.63,8.24,126.08,,,,,,0.8,0.53,,19.28,13.21,2.4,93.53,102.7,78.62,11.9
Malta,MLT,EU,2023,0.31,3.11,2.94,9.17,113.22,,,,,,1.11,0.55,,19.8,13.15,4.08,,,,11.81
Malta,MLT,EU,2024,0.32,2.7,2.77,7.83,174.83,,,,,,,0.57,,20.21,13.03,,,,,11.43
Netherlands,NLD,EU,2000,8.79,2.72,3.44,5.19,15.11,,,2829.01,206298,855,3.28,15.93,472,13.48,18.77,0.71,107.38,123.3,51.45,21.1
Netherlands,NLD,EU,2001,8.87,2.12,2.5,4.33,12.02,,,3185.2,207332,894,3.12,16.05,475,13.52,18.79,0.75,106.74,123.44,52.98,21.29
Netherlands,NLD,EU,2002,8.93,2.55,2.88,4.54,5.36,,,3865.39,207150,898,2.94,16.15,478,13.57,18.76,0.64,106.96,120.75,54.25,20.51
Netherlands,NLD,EU,2003,8.95,3.59,3.79,6.53,3.51,,,3889.86,207092,919,3.04,16.23,481,13.66,18.72,0.47,108.03,119.91,55,20.03
Netherlands,NLD,EU,2004,8.96,4.65,5.03,7.91,21.16,,,5211.74,208834,948,3.31,16.28,482,13.81,18.64,0.35,108.2,116.91,56.77,19.96
Netherlands,NLD,EU,2005,8.96,5.87,6.9,11.54,30.5,,,7358.95,203064,1009,3.7,16.32,483,14.02,18.49,0.23,107.94,117.55,58.79,20.28
Netherlands,NLD,EU,2006,8.99,5.01,6.14,9.76,50.91,5.92,6.43,7943.95,198421,999,3.65,16.35,484,14.23,18.3,0.16,107.84,118.43,59.83,20.47
Netherlands,NLD,EU,2007,9.03,4.15,5.19,9.1,85.98,5.68,6.37,7475.75,197907,1111,3.34,16.38,485,14.45,18.09,0.22,107.65,119.84,60.39,20.43
Netherlands,NLD,EU,2008,9.08,3.66,4.47,8.32,20.41,5.29,6.34,9428.77,195227,1069,3.17,16.45,487,14.7,17.9,0.39,107.35,121.51,61.02,20.78
Netherlands,NLD,EU,2009,9.11,4.35,4.92,9.88,23.12,5.35,6.36,10737.02,190160,1005,3.13,16.53,490,14.99,17.73,0.51,107.02,122.75,61.43,19.58
Netherlands,NLD,EU,2010,9.12,4.99,5.54,10.77,6.25,5.45,6.34,11091.68,200804,1030,3.06,16.62,493,15.28,17.58,0.51,106.75,124.57,63.7,18.95
Netherlands,NLD,EU,2011,9.16,4.98,5.41,9.78,38.81,5.65,6.5,12263.17,187638,1025,2.78,16.69,495,15.73,17.44,0.47,107.07,129.87,75.52,19.32
Netherlands,NLD,EU,2012,9.26,5.82,6.23,11.46,30.7,6.01,6.59,12376.85,186022,998,2.73,16.75,497,16.34,17.28,0.37,107.05,111.45,75.81,19.32
Netherlands,NLD,EU,2013,9.3,7.24,7.3,12.94,35.13,6.05,6.46,11991.84,185684,991,2.1,16.8,499,16.88,17.08,0.29,,,,18.69
Netherlands,NLD,EU,2014,9.28,7.42,7.74,12.53,15.87,6.14,6.45,11535.71,178496,991,2.29,16.87,501,17.35,16.86,0.36,,,,17.68
Netherlands,NLD,EU,2015,9.38,6.87,7.27,11.1,48.5,6.22,6.41,13598.84,186745,,2.32,16.94,503,17.76,16.64,0.44,106.06,114.14,80.16,17.41
Netherlands,NLD,EU,2016,9.43,6.01,6.5,10.64,34.57,6.1,6.5,14678.38,187631,,2.26,17.03,506,18.09,16.42,0.53,105.68,112.99,79.85,16.96
Netherlands,NLD,EU,2017,9.48,4.84,5.25,8.72,23.52,6.1,6.6,17374.9,183625,,2.27,17.13,509,18.42,16.21,0.59,105.04,115.23,83.2,17.12
Netherlands,NLD,EU,2018,9.6,3.83,3.96,7.04,-30.78,6.2,6.3,18832.64,177771,,2.1,17.23,512,18.75,16,0.58,104.56,114.5,83.65,17.32
Netherlands,NLD,EU,2019,9.73,3.38,3.36,6.6,-13.67,6.4,6.4,22721.87,172217,,2.08,17.34,515,19.06,15.79,0.66,104.58,114.8,,17.11
Netherlands,NLD,EU,2020,9.78,3.82,3.95,8.88,-23.71,,,32693.64,155912,,2.07,17.44,518,19.37,15.62,0.56,104.34,136.28,85.34,17.38
Netherlands,NLD,EU,2021,9.84,4.21,4.5,9.33,-10.95,,,40383.5,,,2.26,17.53,521,19.66,15.49,0.52,104.38,135.96,89.39,17.71
Netherlands,NLD,EU,2022,10.05,3.53,3.82,7.64,1.49,,,,,,1.91,17.7,,19.9,15.35,0.95,104.22,138.77,,18.66
Netherlands,NLD,EU,2023,10.25,3.54,3.74,8.27,-26.77,,,,,,1.91,17.88,,20.16,15.17,1,,,,18.75
Netherlands,NLD,EU,2024,10.32,3.6,3.74,8.17,-1.1,,,,,,,17.99,,20.5,15.03,,,,,17.86
Poland,POL,EU,2000,17.41,14.93,16.67,32.93,5.4,,,226,356692,411,18.67,38.26,125,12.24,19.44,-1.04,100.34,100.6,50.4,28.77
Poland,POL,EU,2001,17.58,18.43,20.09,39.98,2.96,,,458,354133,405,19.2,38.25,125,12.47,18.74,-0.03,100.53,101.69,56.35,27.35
Poland,POL,EU,2002,17.34,20.21,21.25,42.91,2.05,,,488,347723,406,19.63,38.23,125,12.68,18.11,-0.05,100.3,103.72,59.54,26.65
Poland,POL,EU,2003,17.26,19.9,20.79,42.3,2.46,,,579,359244,431,18.19,38.2,125,12.87,17.52,-0.07,100.18,106.25,60.62,27.51
Poland,POL,EU,2004,17.23,18.82,19.82,39.67,5.41,,,1125.06,363466,454,17.6,38.18,125,13.06,16.98,-0.06,100.05,98.49,61.74,29.19
Poland,POL,EU,2005,17.5,17.59,19.05,36.57,3.6,,,1646.95,364881,471,17.38,38.17,125,13.23,16.48,-0.04,99.93,101.09,63.78,29.06
Poland,POL,EU,2006,17.28,13.79,14.83,29.54,6.21,3.2,3.88,2255.65,379241,502,15.79,38.14,125,13.38,16.04,-0.06,99.64,100.6,65.09,29.2
Poland,POL,EU,2007,17.27,9.55,10.23,21.39,5.83,2.57,3.63,3123.9,379776,524,14.74,38.12,124,13.46,15.67,-0.05,99.12,100.35,66.94,29.28
Poland,POL,EU,2008,17.5,7.07,7.85,17.1,2.72,1.91,3.69,4506.74,373576,537,13.97,38.13,124,13.51,15.42,0.01,98.24,99.95,70.29,28.82
Poland,POL,EU,2009,17.81,8.13,8.55,20.47,3.18,2.06,3.74,6369.15,358808,541,13.28,38.15,125,13.55,15.15,0.07,98.04,99.65,72.68,29.96
Poland,POL,EU,2010,18.03,9.58,9.87,23.58,3.94,2.23,3.65,8184.25,377248,568,13.05,38.04,124,13.57,15.07,-0.29,98.62,100.21,76.56,29.7
Poland,POL,EU,2011,18.1,9.58,10.24,25.53,3.57,2.33,3.65,10962.55,373328,559,12.91,38.06,124,13.71,15.17,0.05,99.26,100.62,75.8,30.39
Poland,POL,EU,2012,18.23,10.03,10.77,26.31,1.53,2.62,3.81,14984.18,366348,533,12.58,38.06,124,14.02,15.14,-0,100.68,100.56,75.04,30.23
Poland,POL,EU,2013,18.27,10.29,11.01,27.16,0.26,3.05,3.91,14714.89,360557,505,12,38.04,124,14.43,15.11,-0.06,100.07,111.52,73.32,28.68
Poland,POL,EU,2014,18.39,8.97,9.52,23.73,3.85,3.55,4.02,17747.51,347385,506,11.49,38.01,124,14.88,15.09,-0.07,99.56,110.03,70.24,29.94
Poland,POL,EU,2015,18.34,7.47,7.64,20.68,3.3,3.81,4.07,20977.38,350542,,11.53,37.99,124,15.38,15.1,-0.07,,109.41,69.37,30.99
Poland,POL,EU,2016,18.39,6.14,6.18,17.59,3.82,4,4.3,20692.16,361341,,10.58,37.97,124,15.91,15.13,-0.04,,109.12,69.85,30.67
Poland,POL,EU,2017,18.46,4.87,4.86,14.76,2.38,4.1,4.5,21596.67,374716,,10.22,37.97,124,16.47,15.21,0.01,97.68,109.46,70.62,28.81
Poland,POL,EU,2018,18.43,3.84,3.82,11.68,3.35,4.1,4.8,19681.15,372926,,9.62,37.97,124,17.01,15.31,-0,94.49,110.54,71.02,28.86
Poland,POL,EU,2019,18.38,3.27,3.57,9.83,3.15,4.3,4.8,23534.91,355381,,9.15,37.97,124,17.56,15.42,-0.02,94.94,109.75,70.91,28.83
Poland,POL,EU,2020,18.13,3.15,3.28,10.83,3.31,,,26142.96,338384,,9.59,37.52,124,18.08,15.49,-0.18,82.21,112.58,70.97,28.57
Poland,POL,EU,2021,18.23,3.27,3.28,11.81,5.44,,,28263.57,,,8.4,36.98,123,18.54,15.46,-0.4,96.6,110.53,72.21,28.49
Poland,POL,EU,2022,18.26,2.81,2.85,10.55,6.01,,,,,,8.25,36.82,,19.02,15.32,-2.48,100.59,108.48,75.29,29.18
Poland,POL,EU,2023,18.34,2.74,2.79,11.15,4.22,,,,,,7.6,36.69,,19.56,15.1,-0.37,,,,29.39
Poland,POL,EU,2024,18.24,2.47,2.64,9.88,2.02,,,,,,,36.55,,20.14,14.81,,,,,26.35
Portugal,PRT,EU,2000,5.23,3.81,4.73,8.24,6.15,,,1545,78714,333,12.66,10.29,112,16.13,16.39,0.7,119.71,108.37,,24.46
Portugal,PRT,EU,2001,5.34,3.83,4.95,8.95,5.03,,,1707,78052,334,13.17,10.36,113,16.39,16.22,0.71,119.48,108.5,,24.14
Portugal,PRT,EU,2002,5.42,4.5,5.31,10.45,0.44,,,1933,82671,343,12.61,10.42,114,16.61,16.14,0.55,115.04,109.79,,23.5
Portugal,PRT,EU,2003,5.44,6.13,7.25,13.49,6.27,,,1980,78021,326,12.96,10.46,114,16.81,16.09,0.38,115.24,108.31,,22.63
Portugal,PRT,EU,2004,5.42,6.32,7.18,14.05,1.31,,,2445.56,79875,328,12.28,10.48,115,17.04,16.01,0.24,114.67,95.08,,22.24
Portugal,PRT,EU,2005,5.46,7.58,8.63,16.22,1.71,,,3529.83,82959,337,12.05,10.5,115,17.27,15.92,0.19,114.44,96.43,,21.38
Portugal,PRT,EU,2006,5.5,7.65,8.9,16.5,6.42,5.43,5.54,4720.67,77908,303,11.89,10.52,115,17.46,15.8,0.18,113.98,95.66,,21.15
Portugal,PRT,EU,2007,5.53,7.97,9.49,16.73,2.5,5.61,5.61,6126.67,76537,308,11.82,10.54,115,17.66,15.65,0.2,113.06,99.31,,21.15
Portugal,PRT,EU,2008,5.53,7.55,8.75,16.66,2.97,5.79,5.41,7842.61,74282,293,11.43,10.56,115,17.89,15.5,0.14,112.72,101.61,,20.39
Portugal,PRT,EU,2009,5.48,9.43,10.09,20.31,2.35,5.98,5.18,10007.17,73486,276,11.44,10.57,115,18.18,15.36,0.1,110.98,105.08,,19.86
Portugal,PRT,EU,2010,5.49,10.77,11.86,22.75,3.77,6.17,5.29,12205.9,68074,274,11.2,10.57,115,18.52,15.19,0.05,109.77,107.52,,19.93
Portugal,PRT,EU,2011,5.43,12.68,13.05,30.26,4.24,6.29,5.53,12576.17,67196,256,10.18,10.56,115,18.87,15.05,-0.15,109.65,108.86,,19.33
